,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
58,58,0.3713753005006004,39.0,0.5353526126240015,40.0,9.0,0.010781592094734244,18.0,0.5353526126240015,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
59,59,0.5566995320354714,24.0,0.8170509675074089,40.0,9.0,0.22264579203543294,23.0,0.8126580964227399,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
60,60,0.35691019663602863,38.0,0.5810946551792634,40.0,10.0,0.0014812925543814116,17.0,0.5724914096441512,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
61,61,0.5953983291329537,27.0,0.9264470089978478,40.0,10.0,0.08153527363506749,27.0,0.8896053670690219,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
62,62,0.4372513363125486,47.0,0.6181419251241089,40.0,11.0,0.0032908546008688236,24.0,0.6181419251241089,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
63,63,0.5985214894268595,30.0,0.8928924489701054,40.0,11.0,0.3718150230832023,30.0,0.8928924489701054,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
64,64,0.20161436671171146,20.0,0.2880605524465162,40.0,12.0,0.01541584907922419,20.0,0.2880605524465162,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
65,65,0.6485133425846884,32.0,0.9512729303620808,40.0,12.0,0.3785572246439254,32.0,0.9512729303620808,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
66,66,0.20760905965977886,23.0,0.3075852413748523,40.0,13.0,0.02427984979265364,11.0,0.3075852413748523,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
67,67,0.5672353658653472,40.0,1.0,40.0,13.0,0.1050705528372366,28.0,0.8848606906006125,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
68,68,0.3875287176021593,46.0,0.6592863218613968,40.0,14.0,0.004863582144139013,24.0,0.6592136058208522,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
69,69,0.5006084761858043,25.0,0.8255449100535773,40.0,14.0,0.2310497219553884,22.0,0.7830600261611903,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
70,70,0.3746905337576426,38.0,0.5562658272155501,40.0,15.0,0.01937080233301881,22.0,0.5445145346973707,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
